store_nbr,state,unit_sales
1,Pichincha,1894712.5179999871
2,Pichincha,2865393.3079999946
3,Pichincha,6462661.152000014
4,Pichincha,2611981.132000013
5,Santo Domingo de los Tsachilas,2579358.427000017
6,Pichincha,3546397.6169999917
7,Pichincha,3283309.9230000013
8,Pichincha,3997763.3939999985
9,Pichincha,4026854.836999978
10,Pichincha,1673191.9530000074
11,Pichincha,4569501.943999967
12,Cotopaxi,1726761.7730000082
13,Cotopaxi,1630205.127000002
14,Chimborazo,1950353.6470000073
15,Imbabura,1784640.2440000086
16,Santo Domingo de los Tsachilas,1926380.304000003
17,Pichincha,2334355.753000005
18,Pichincha,1970772.6540000103
19,Bolivar,1830391.7030000007
23,Tungurahua,1945826.7429999972
24,Guayas,3708284.5609999867
25,Santa Elena,1663729.8899999892
26,Guayas,1472962.0679999944
27,Guayas,2417919.6419999744
28,Guayas,2267668.9770000144
30,Guayas,1017873.0560000018
31,Los Rios,2391017.20799999
32,Guayas,963129.4689999945
33,Los Rios,2115332.707000003
34,Guayas,2877699.530000015
35,Guayas,1010121.2640000024
36,Guayas,1277566.0670000028
37,Azuay,2835042.932999993
38,Loja,2752959.079999997
39,Azuay,2657474.6929999874
40,El Oro,1984719.275000002
41,El Oro,1728444.522000017
43,Esmeraldas,2114036.6620000014
44,Pichincha,8327321.997000035
45,Pichincha,7098805.57700002
46,Pichincha,6241694.584999971
47,Pichincha,6727159.229999965
48,Pichincha,5331640.558999976
49,Pichincha,4185245.1779999984
50,Tungurahua,4382812.192999993
51,Guayas,4726213.3010000875
54,Manabi,1530311.5519999983
