,city,unit_sales
0,Puyo,512605.30000000034
1,Playas,1867491.5850000111
2,El Carmen,2421384.008
3,Riobamba,2525439.3039999926
4,Manta,2562626.687999978
5,Salinas,2605974.23200001
6,Ibarra,2619541.240999988
7,Guaranda,3124315.0389999934
8,Quevedo,3233391.217999966
9,Esmeraldas,3797679.9760000077
10,Libertad,3943378.436999964
11,Babahoyo,4121906.407999992
12,Daule,4330859.6259999955
13,Loja,4347387.6329999715
14,Latacunga,4818583.370999991
15,Cayambe,6186710.355999989
16,Machala,7671694.384999996
17,Santo Domingo,8210514.729999959
18,Ambato,8685560.546999983
19,Cuenca,10510028.064999921
20,Guayaquil,28058398.387999725
21,Quito,124712360.11300255
