,state,unit_sales
0,Pastaza,512605.30000000034
1,Chimborazo,2525439.3039999926
2,Santa Elena,2605974.23200001
3,Imbabura,2619541.240999988
4,Bolivar,3124315.0389999934
5,Esmeraldas,3797679.9760000077
6,Loja,4347387.6329999715
7,Cotopaxi,4818583.370999991
8,Manabi,4984010.6959999865
9,Los Rios,7355297.626000006
10,El Oro,7671694.384999996
11,Santo Domingo de los Tsachilas,8210514.729999959
12,Tungurahua,8685560.546999983
13,Azuay,10510028.064999921
14,Guayas,38200128.035999805
15,Pichincha,130899070.4690024
