,date,state,unit_sales
0,2017-01-02,Azuay,68664.97300000007
1,2017-01-02,Bolivar,14740.575000000004
2,2017-01-02,Chimborazo,11286.672999999999
3,2017-01-02,Cotopaxi,22363.921
4,2017-01-02,El Oro,37184.03599999999
5,2017-01-02,Esmeraldas,22039.874000000003
6,2017-01-02,Guayas,175406.94100000014
7,2017-01-02,Imbabura,10599.046999999997
8,2017-01-02,Loja,24049.411
9,2017-01-02,Los Rios,35975.17700000001
10,2017-01-02,Manabi,30418.915999999997
11,2017-01-02,Pastaza,10861.358999999999
12,2017-01-02,Pichincha,821605.0200000001
13,2017-01-02,Santa Elena,12856.309000000001
14,2017-01-02,Santo Domingo de los Tsachilas,48922.42900000006
15,2017-01-02,Tungurahua,55330.710000000014
16,2017-01-03,Azuay,63318.87299999993
17,2017-01-03,Bolivar,12021.390999999996
18,2017-01-03,Chimborazo,11285.575999999995
19,2017-01-03,Cotopaxi,19371.963
20,2017-01-03,El Oro,35702.99999999999
21,2017-01-03,Esmeraldas,23245.542000000016
22,2017-01-03,Guayas,166007.5290000001
23,2017-01-03,Imbabura,10784.568000000003
24,2017-01-03,Loja,15518.435000000009
25,2017-01-03,Los Rios,31392.63499999998
26,2017-01-03,Manabi,25331.114000000016
27,2017-01-03,Pastaza,10133.983
28,2017-01-03,Pichincha,593083.0640000012
29,2017-01-03,Santa Elena,10151.415999999996
30,2017-01-03,Santo Domingo de los Tsachilas,38586.827000000005
31,2017-01-03,Tungurahua,38441.164000000004
32,2017-01-04,Azuay,57893.55500000005
33,2017-01-04,Bolivar,9595.004
34,2017-01-04,Chimborazo,8254.927
35,2017-01-04,Cotopaxi,16618.047000000013
36,2017-01-04,El Oro,34315.85999999999
37,2017-01-04,Esmeraldas,16016.361000000003
38,2017-01-04,Guayas,147051.18599999987
39,2017-01-04,Imbabura,10005.203999999996
40,2017-01-04,Loja,17074.532000000003
41,2017-01-04,Los Rios,22180.071999999986
42,2017-01-04,Manabi,21897.482999999986
