,store_nbr,family,perishable,unit_sales
0,1,AUTOMOTIVE,0,5475.0
1,1,BEAUTY,0,4056.0
2,1,BEVERAGES,0,2673769.0
3,1,BOOKS,0,210.0
4,1,BREAD/BAKERY,1,569992.2080000001
5,1,CELEBRATION,0,16786.0
6,1,CLEANING,0,1078525.0
7,1,DAIRY,1,1054354.0
8,1,DELI,1,207037.07809999984
9,1,EGGS,1,236506.0
10,1,FROZEN FOODS,0,217926.38399999996
11,1,GROCERY I,0,3743823.0
12,1,GROCERY II,0,36783.0
13,1,HARDWARE,0,2694.0
14,1,HOME AND KITCHEN I,0,25006.0
15,1,HOME AND KITCHEN II,0,21796.0
16,1,HOME APPLIANCES,0,569.0
17,1,HOME CARE,0,170062.0
18,1,LADIESWEAR,0,15835.0
19,1,LAWN AND GARDEN,0,15169.0
20,1,LINGERIE,0,11314.0
21,1,"LIQUOR,WINE,BEER",0,170111.0
22,1,MAGAZINES,0,5399.0
23,1,MEATS,1,527608.2889000045
24,1,PERSONAL CARE,0,217534.0
25,1,PET SUPPLIES,0,5850.0
26,1,PLAYERS AND ELECTRONICS,0,8913.0
27,1,POULTRY,1,478621.3720999986
28,1,PREPARED FOODS,1,135979.561
29,1,PRODUCE,1,2443329.9674000056
30,1,SCHOOL AND OFFICE SUPPLIES,0,289.0
31,1,SEAFOOD,1,43689.00959999998
32,2,AUTOMOTIVE,0,9100.0
33,2,BABY CARE,0,84.0
34,2,BEAUTY,0,7936.0
35,2,BEVERAGES,0,4153912.0
36,2,BOOKS,0,239.0
37,2,BREAD/BAKERY,1,924272.787
38,2,CELEBRATION,0,13384.0
39,2,CLEANING,0,1625869.0
40,2,DAIRY,1,1436860.0
41,2,DELI,1,411485.0905000006
42,2,EGGS,1,314736.0
43,2,FROZEN FOODS,0,270649.1370000003
44,2,GROCERY I,0,6590998.797
45,2,GROCERY II,0,52685.0
46,2,HARDWARE,0,1972.0
47,2,HOME AND KITCHEN I,0,29649.0
48,2,HOME AND KITCHEN II,0,24264.0
49,2,HOME APPLIANCES,0,803.0
50,2,HOME CARE,0,298056.0
51,2,LADIESWEAR,0,29539.0
52,2,LAWN AND GARDEN,0,13863.0
53,2,LINGERIE,0,15699.0
54,2,"LIQUOR,WINE,BEER",0,145672.0
55,2,MAGAZINES,0,6459.0
56,2,MEATS,1,849915.7762999978
57,2,PERSONAL CARE,0,441338.0
58,2,PET SUPPLIES,0,9140.0
59,2,PLAYERS AND ELECTRONICS,0,9603.0
60,2,POULTRY,1,819440.4481000152
61,2,PREPARED FOODS,1,210382.4810000003
62,2,PRODUCE,1,2781594.1711999862
63,2,SCHOOL AND OFFICE SUPPLIES,0,770.0
64,2,SEAFOOD,1,54246.95599999999
65,3,AUTOMOTIVE,0,15647.0
66,3,BABY CARE,0,672.0
67,3,BEAUTY,0,16189.0
68,3,BEVERAGES,0,11351589.0
69,3,BOOKS,0,539.0
70,3,BREAD/BAKERY,1,1937379.331
71,3,CELEBRATION,0,48450.0
72,3,CLEANING,0,3474432.0
73,3,DAIRY,1,3436852.0
74,3,DELI,1,664670.0258000001
75,3,EGGS,1,879981.0
76,3,FROZEN FOODS,0,756579.343999999
77,3,GROCERY I,0,12970467.970999999
78,3,GROCERY II,0,130132.0
79,3,HARDWARE,0,5051.0
80,3,HOME AND KITCHEN I,0,73617.0
81,3,HOME AND KITCHEN II,0,58808.0
82,3,HOME APPLIANCES,0,3162.0
83,3,HOME CARE,0,546284.0
84,3,LADIESWEAR,0,51998.0
85,3,LAWN AND GARDEN,0,41315.0
86,3,LINGERIE,0,46351.0
87,3,"LIQUOR,WINE,BEER",0,369712.0
88,3,MAGAZINES,0,20476.0
89,3,MEATS,1,1366488.6398999977
90,3,PERSONAL CARE,0,847967.0
91,3,PET SUPPLIES,0,19678.0
92,3,PLAYERS AND ELECTRONICS,0,29765.0
93,3,POULTRY,1,1905238.516800001
94,3,PREPARED FOODS,1,618877.9630000009
95,3,PRODUCE,1,8613316.112400174
96,3,SCHOOL AND OFFICE SUPPLIES,0,1264.0
97,3,SEAFOOD,1,178950.28119999965
98,4,AUTOMOTIVE,0,6767.0
99,4,BABY CARE,0,24.0
100,4,BEAUTY,0,6889.0
101,4,BEVERAGES,0,3668136.0
102,4,BOOKS,0,265.0
103,4,BREAD/BAKERY,1,682881.9720000001
104,4,CELEBRATION,0,10749.0
105,4,CLEANING,0,1489848.0
