,store_nbr,weekday,id,item_nbr,unit_sales,class,perishable,cluster
0,1,0,2016860237314,63770791964,430079.1380000009,144566695,22573,954733
1,1,1,2023970393523,63648600777,427871.0319999997,144783070,22463,954135
2,1,2,2108919128970,66395972945,543734.9133999986,151045234,23225,995826
3,1,3,1903378890282,61229997054,399129.82599999907,139625691,21668,919685
4,1,4,2009218901964,63622839866,475153.05269999907,145370322,22731,961311
5,1,5,2012786196430,63872181510,429879.564000001,145290628,22545,960687
6,1,6,1490609362296,47481099843,193861.992000001,105067929,18645,705939
7,2,0,2249841038194,70437545209,597399.0220000022,163481077,24126,1063816
8,2,1,2227330908927,69366887484,555440.5319999994,161494045,23989,1049672
9,2,2,2268582450816,70689677183,621328.8911999979,163916605,24546,1069133
10,2,3,2097658170656,66868502660,488985.8160000014,155014798,23386,1013480
11,2,4,2236432368902,70122192944,590090.3939000006,163763230,24530,1067365
12,2,5,2357359009722,74213135802,748391.2369999996,174386168,25065,1123447
13,2,6,2349225564775,73788824259,824479.2510000013,174426065,25073,1116102
14,3,0,2492770861374,78089527992,1412944.7159999954,185307668,25786,726208
15,3,1,2480028366579,77483206286,1267004.4639999995,183679273,25712,720608
16,3,2,2520610280731,78719846640,1466434.3414000012,186565206,26013,731288
17,3,3,2351085856938,74898092167,1114681.5809999993,177551619,25072,699672
18,3,4,2472128669829,77758779667,1325026.2236999962,185063088,25817,726688
19,3,5,2575280014833,81213260897,1775634.9370000018,195214703,26083,755344
20,3,6,2550214116556,80195195369,1929422.8800000034,193584493,26018,745512
21,4,0,2109601745718,65920859108,534000.5600000019,151526255,23253,690849
22,4,1,2085900137268,64969346371,490479.5069999987,148954324,22932,681309
23,4,2,2145014078994,66711454461,560342.5251000011,153446127,23592,699183
24,4,3,1941553008027,61803886424,411411.2460000006,142019970,22136,649458
25,4,4,2091098619776,65528785277,502740.5600999975,151600365,23409,690948
26,4,5,2234198011030,70270176745,669999.7100000009,163602398,24105,737793
27,4,6,2256225830486,70784185612,825891.8419999996,165850212,24432,742446
28,5,0,2077098338236,64141282694,521089.73899999977,151759515,20146,301968
